Wall time,Step,Value
1562531298.0048442,2970,-58.52979278564453
1562531299.4828708,5970,-58.13692855834961
1562531303.0094318,8970,-56.91381072998047
1562531304.4076214,11970,-56.16614532470703
1562531306.534642,14970,-56.248046875
1562531308.0363884,17970,-54.60433578491211
1562531310.2026346,20970,-57.00896072387695
1562531311.5954435,23970,-55.929988861083984
1562531313.7345908,26970,-57.687686920166016
1562531315.1921563,29970,-56.99323654174805
1562531317.3826249,32970,-58.07429504394531
1562531318.7764187,35970,-57.19877243041992
1562531320.8891766,38970,-57.71664047241211
1562531322.2141564,41970,-57.016441345214844
1562531324.2911022,44970,-58.09416198730469
1562531325.6669052,47970,-57.12575149536133
1562531327.8910458,50970,-57.14198684692383
1562531329.3211656,53970,-56.332130432128906
1562531331.6138313,56970,-58.72086715698242
1562531333.026641,59970,-57.49443054199219
1562531335.5515485,62970,-57.85420227050781
1562531336.9303305,65970,-56.713722229003906
1562531339.081882,68970,-55.92138671875
1562531340.451237,71970,-54.82892608642578
1562531342.7035046,74970,-56.10494613647461
1562531344.1098752,77970,-54.5638313293457
1562531346.3704555,80970,-57.10206604003906
1562531348.0023506,83970,-56.474632263183594
1562531350.193443,86970,-57.100730895996094
1562531351.6465006,89970,-56.30873107910156
1562531353.9380178,92970,-57.95509719848633
1562531355.561424,95970,-56.68458557128906
1562531357.8354733,98970,-57.029380798339844
1562531359.3945107,101970,-55.95771789550781
1562531361.7070525,104970,-56.88905334472656
1562531363.1324642,107970,-55.65281295776367
1562531365.3884602,110970,-55.53571701049805
1562531366.7635684,113970,-53.281166076660156
1562531368.9026532,116970,-58.08877944946289
1562531370.509513,119970,-55.60145950317383
1562531373.0285888,122970,-56.20887756347656
1562531374.4531484,125970,-54.91972732543945
1562531376.7197227,128970,-57.14238739013672
1562531378.139726,131970,-56.003013610839844
1562531380.295013,134970,-56.842647552490234
1562531381.666955,137970,-55.98360824584961
1562531383.8087218,140970,-57.90894317626953
1562531385.188457,143970,-56.30085372924805
1562531387.3524814,146970,-57.16315841674805
1562531388.7392287,149970,-55.88847732543945
1562531390.9005127,152970,-56.927085876464844
1562531392.2837286,155970,-55.20560836791992
1562531394.4583411,158970,-57.34790802001953
1562531395.9133377,161970,-55.46083068847656
1562531398.2203364,164970,-57.75315856933594
1562531399.7669036,167970,-56.44963455200195
1562531402.0625968,170970,-56.936012268066406
1562531403.6633182,173970,-55.69056701660156
1562531405.832273,176970,-57.427669525146484
1562531407.1978421,179970,-55.63994216918945
1562531409.6115758,182970,-56.55123519897461
1562531410.9570956,185970,-54.18606948852539
1562531413.0522459,188970,-56.32368850708008
1562531414.410583,191970,-54.68394470214844
1562531416.4752874,194970,-58.306236267089844
1562531417.8024783,197970,-56.94002914428711
1562531420.0541935,200970,-57.85704040527344
1562531421.4789448,203970,-56.227046966552734
1562531423.6495764,206970,-56.162532806396484
1562531425.0120254,209970,-54.43218994140625
1562531427.1614504,212970,-56.64285659790039
1562531428.5745494,215970,-55.01320266723633
1562531430.8229086,218970,-56.78441619873047
1562531432.2681465,221970,-54.36144256591797
1562531434.3808153,224970,-57.7425537109375
1562531435.7651803,227970,-55.52708053588867
1562531437.8661773,230970,-57.09861373901367
1562531439.2821722,233970,-56.08290481567383
1562531441.4735873,236970,-58.67582321166992
1562531442.9387596,239970,-56.59651565551758
1562531445.399162,242970,-57.87247085571289
1562531446.8737383,245970,-55.90980911254883
1562531449.0780606,248970,-56.02616882324219
1562531450.6099436,251970,-54.3442268371582
1562531452.9745636,254970,-57.48204040527344
1562531454.4184446,257970,-54.689857482910156
1562531456.552148,260970,-57.4366455078125
1562531457.9371948,263970,-55.713199615478516
1562531460.069716,266970,-57.85047149658203
1562531461.4895763,269970,-56.037532806396484
1562531463.6788247,272970,-57.463218688964844
1562531465.0886858,275970,-55.44384002685547
1562531467.327806,278970,-57.32254409790039
1562531468.7412894,281970,-55.047420501708984
1562531470.9668994,284970,-56.855899810791016
1562531472.472827,287970,-55.04184341430664
1562531474.7344723,290970,-57.51567459106445
1562531476.2552505,293970,-54.69777297973633
1562531478.3623815,296970,-56.704002380371094
1562531479.7170558,299970,-54.25449752807617
1562531482.0858119,302970,-57.03016662597656
1562531483.4675345,305970,-54.88935470581055
1562531485.5751035,308970,-57.7751579284668
1562531486.9380152,311970,-55.828372955322266
1562531489.0397263,314970,-58.21923828125
1562531490.4276397,317970,-56.4144287109375
1562531492.7070675,320970,-57.42152404785156
1562531494.1306427,323970,-55.254940032958984
1562531496.4759748,326970,-56.17855453491211
1562531497.8914092,329970,-52.61369705200195
1562531500.2581084,332970,-57.38685989379883
1562531501.977394,335970,-54.96590042114258
1562531504.5979314,338970,-57.15887451171875
1562531506.0479994,341970,-54.32521057128906
1562531508.4811323,344970,-57.21102523803711
1562531509.9425986,347970,-54.753929138183594
1562531512.1406646,350970,-57.20319366455078
1562531513.6785772,353970,-54.82568359375
1562531515.90136,356970,-56.78242492675781
1562531517.2777934,359970,-54.027198791503906
1562531519.7104115,362970,-57.154014587402344
1562531521.1346855,365970,-54.36471939086914
1562531523.28166,368970,-55.03028869628906
1562531524.7008266,371970,-51.27212905883789
1562531526.840822,374970,-57.998714447021484
1562531528.2734482,377970,-55.34505081176758
1562531530.3986707,380970,-56.7899169921875
1562531531.8678727,383970,-53.93398666381836
1562531534.1128955,386970,-56.98646926879883
1562531535.5653753,389970,-54.82939529418945
1562531537.8007796,392970,-58.29003143310547
1562531539.213291,395970,-56.39955520629883
1562531541.365624,398970,-57.369789123535156
