Wall time,Step,Value
1562257654.9649136,2970,-39.141700744628906
1562257656.11728,5970,-39.06572723388672
1562257658.9723248,8970,-38.79926681518555
1562257660.1089993,11970,-38.78528594970703
1562257661.7646732,14970,-38.54545974731445
1562257662.8993666,17970,-38.8779296875
1562257664.5511756,20970,-38.69281768798828
1562257665.68956,23970,-38.66794204711914
1562257667.3393085,26970,-38.29768371582031
1562257668.4706638,29970,-38.05441665649414
1562257670.1360953,32970,-38.374168395996094
1562257671.2627509,35970,-38.413658142089844
1562257672.9184413,38970,-38.41921615600586
1562257674.0601134,41970,-38.16764831542969
1562257675.7825801,44970,-38.316627502441406
1562257676.976091,47970,-38.18058395385742
1562257678.6649103,50970,-38.296875
1562257679.8372254,53970,-38.35454177856445
1562257681.5056896,56970,-38.55170440673828
1562257682.787851,59970,-38.36722183227539
1562257684.839447,62970,-39.12938690185547
1562257686.1277885,65970,-39.45857620239258
1562257688.0133066,68970,-38.52095031738281
1562257689.3082035,71970,-38.85259246826172
1562257691.0278766,74970,-38.7608757019043
1562257692.2579074,77970,-38.80014419555664
1562257694.0133622,80970,-39.86780548095703
1562257695.1703444,83970,-41.42127990722656
1562257696.9474192,86970,-39.14986801147461
1562257698.197192,89970,-40.240299224853516
1562257700.0159836,92970,-40.029056549072266
1562257701.3512008,95970,-41.87584686279297
1562257703.3123367,98970,-40.00327682495117
1562257704.6007247,101970,-41.20770263671875
1562257706.393717,104970,-39.640926361083984
1562257707.632426,107970,-40.89326095581055
1562257709.426022,110970,-40.02705764770508
1562257710.6621659,113970,-41.68750762939453
1562257712.4392273,116970,-39.36373519897461
1562257713.6349986,119970,-40.603702545166016
1562257715.7396905,122970,-39.10358810424805
1562257716.9472613,125970,-39.92430877685547
1562257718.7680206,128970,-39.23250198364258
1562257720.0504777,131970,-40.26900863647461
1562257721.7579157,134970,-39.474422454833984
1562257722.9085739,137970,-41.29918670654297
1562257724.6536787,140970,-39.05196762084961
1562257725.8003905,143970,-39.913509368896484
1562257727.5144923,146970,-40.0072135925293
1562257728.7049973,149970,-41.85866165161133
1562257730.3896294,152970,-39.313472747802734
1562257731.645216,155970,-40.66196060180664
1562257733.4058273,158970,-40.05341720581055
1562257734.5967216,161970,-42.559810638427734
1562257736.281927,164970,-40.01995849609375
1562257737.4720452,167970,-42.688560485839844
1562257739.1827755,170970,-39.70165252685547
1562257740.3209977,173970,-41.693580627441406
1562257742.0180035,176970,-40.52280044555664
1562257743.1292508,179970,-44.16898727416992
1562257745.0808883,182970,-40.11154556274414
1562257746.2500412,185970,-42.19375991821289
1562257747.9613566,188970,-40.135093688964844
1562257749.1050475,191970,-43.10655975341797
1562257750.8014116,194970,-39.53120040893555
1562257751.9561949,197970,-41.41203308105469
1562257753.7668862,200970,-39.87003707885742
1562257754.910984,203970,-42.7640495300293
1562257756.6621115,206970,-40.33555603027344
1562257757.9699552,209970,-43.13058853149414
1562257759.6912813,212970,-39.65900802612305
1562257760.9110515,215970,-42.239402770996094
1562257762.6350937,218970,-40.017845153808594
